id	filename	md5	size	state
fa3a810e-09c6-4342-8923-1fe70546d9de	TCGA-AA-3492-01Z-00-DX1.32D79909-71D5-4843-847E-AECA5DBC963D.svs	0aa83b987910cba90490d5dbeaf113bf	9013124	released
b9496405-b480-4dda-9ee9-1aeff378f535	TCGA-AZ-6600-01Z-00-DX1.9afe2f8f-bcfe-43df-a83b-6c183f226757.svs	2ae4e01418919f36011bd09aab3a77dc	979053525	released
920dba4e-065b-4c9d-b970-b78d033ae12a	TCGA-D5-6536-01Z-00-DX1.a4528e3f-770e-4271-9943-d3a8b8bd3e9d.svs	da66a91b3cf8e611c1116107a1ca6d29	923873229	released
808c0782-1739-4c70-a26f-8fe8c4ae8f64	TCGA-CA-6715-01Z-00-DX1.d5db8085-f91a-4eee-b15f-61960af713af.svs	1be848428371eb539483412adce1b6a4	824600629	released
5faaf55f-a794-4761-90c7-1b6ac528230c	TCGA-AU-6004-01Z-00-DX1.12a234b3-1843-47ca-b650-37c1a631f489.svs	6840a736b84f0fb266a1bb376fe5afa2	247910497	released
9d0ac4ac-d488-4162-8d1b-9d8287d0fe52	TCGA-AA-3980-01Z-00-DX1.93383cb9-59a7-431d-b268-3c3d59a1120e.svs	345b319e1d29f936afd8f518b2790a02	275358782	released
567492c8-a39d-4a87-a569-b1a6537a1815	TCGA-AA-3514-01Z-00-DX1.9e135da2-436e-47e3-9dbf-b2f577677828.svs	7a58d1813b20484daf35343884176b93	291846830	released
31565365-1404-46ff-b4f6-a5c5294c9ba6	TCGA-A6-5661-01Z-00-DX1.bad2d858-11b4-4b9c-a720-daaae592cf48.svs	f53e6c9afcad8e8d3dee383e8bff8c79	168764181	released
e592fc48-a4b8-4e73-9307-4fc462e6eda5	TCGA-NH-A8F8-01Z-00-DX1.0C13D583-0BCE-44F7-A4E6-5994FE97B99C.svs	19e6ba56dfde003fd873284083c7a985	1535400125	released
49df964d-62da-429f-8700-3a5955ea4ef3	TCGA-CM-6166-01Z-00-DX1.52eaa124-7ab5-4aaf-b074-7f89a4c53804.svs	5a503da3fdd9cd6fd80444f9ed1ee561	661268139	released
4750c7b9-15c5-41c8-91cf-127b1cfbc78c	TCGA-AA-A00E-01Z-00-DX1.ABFCAF2D-287A-445F-9F32-BD00D1B385C3.svs	4460f7d2cacd5c92e17b4f8f238531c8	910656942	released
50e5358f-6e30-4d47-8142-15a0cb821c49	TCGA-G4-6323-01Z-00-DX1.f97c27a6-9fbe-4a81-b4aa-020c25279449.svs	f26dff2bc5a5e3d2b372a5d77e324e80	497904457	released
754bec03-2e61-4652-b373-3e1f66001809	TCGA-AA-3877-01Z-00-DX1.36902310-bc0b-4437-9f86-6df85703e0ad.svs	76b48eae726e542797f8ffb658916dd2	337475202	released
f69aeb1a-626a-4dfa-bf5f-60ff674f26aa	TCGA-QG-A5YV-01Z-00-DX1.9B7FD3EA-D1AB-44B3-B728-820939EF56EA.svs	948869d55d75f30a6a684d2d54d0fa64	2029458767	released
176f2cac-68c9-42fd-bc5f-7d096ecdd069	TCGA-AA-3977-01Z-00-DX1.08ffa326-08fd-4215-9bf7-81fcf33b4f5a.svs	a2af43d3c3e0935dd79f9dc05595c1a9	144131888	released
