Genes,TCGA-4N-A93T-01A-11H-A37P-13,TCGA-5M-AAT4-01A-11H-A41D-13,TCGA-5M-AAT6-01A-11H-A41D-13,TCGA-5M-AATE-01A-11H-A41D-13,TCGA-A6-2671-01A-01T-1409-13,TCGA-A6-2671-11A-01R-1757-13,TCGA-A6-2672-01A-01T-0827-13,TCGA-A6-2675-01A-02T-1722-13,TCGA-A6-2676-01A-01T-0827-13,TCGA-A6-2677-01A-01T-0822-13,TCGA-A6-2678-01A-01T-0822-13,TCGA-A6-2679-01A-02T-1409-13,TCGA-A6-2680-01A-01T-1409-13,TCGA-A6-2680-11A-01R-1757-13,TCGA-A6-2681-01A-01T-1409-13,TCGA-A6-2682-01A-01T-1409-13,TCGA-A6-2683-01A-01T-0822-13,TCGA-A6-2683-11A-01R-1757-13,TCGA-A6-2684-01A-01T-1409-13,TCGA-A6-2684-11A-01R-1757-13,TCGA-A6-2685-01A-01T-1409-13,TCGA-A6-2685-11A-01R-1757-13,TCGA-A6-2686-01A-01T-1409-13,TCGA-A6-3807-01A-01T-1021-13,TCGA-A6-3808-01A-01T-1021-13,TCGA-A6-3810-01A-01T-1021-13,TCGA-A6-4105-01A-02T-1773-13,TCGA-A6-4107-01A-02T-1409-13,TCGA-A6-5656-01A-21H-1838-13,TCGA-A6-5657-01A-01T-1652-13,TCGA-A6-5659-01A-01T-1652-13,TCGA-A6-5660-01A-01T-1652-13,TCGA-A6-5661-01A-01T-1652-13,TCGA-A6-5662-01A-01T-1652-13,TCGA-A6-5664-01A-21H-1838-13,TCGA-A6-5665-01A-01T-1652-13,TCGA-A6-5666-01A-01T-1652-13,TCGA-A6-5667-01A-21H-1722-13,TCGA-A6-6137-01A-11H-1773-13,TCGA-A6-6138-01A-11H-1773-13,TCGA-A6-6140-01A-11H-1773-13,TCGA-A6-6141-01A-11H-1773-13,TCGA-A6-6142-01A-11H-1773-13,TCGA-A6-6648-01A-11H-1773-13,TCGA-A6-6649-01A-11H-1773-13,TCGA-A6-6650-01A-11H-1773-13,TCGA-A6-6651-01A-21H-1838-13,TCGA-A6-6652-01A-11H-1773-13,TCGA-A6-6653-01A-11H-1773-13,TCGA-A6-6654-01A-21H-1838-13,TCGA-A6-6782-01A-11H-1838-13,TCGA-A6-A567-01A-31H-A28I-13,TCGA-A6-A56B-01A-31H-A28I-13,TCGA-A6-A5ZU-01A-11H-A28I-13,TCGA-AA-3488-01A-01T-1409-13,TCGA-AA-3489-01A-21H-1838-13,TCGA-AA-3492-01A-01T-1409-13,TCGA-AA-3494-01A-01T-1409-13,TCGA-AA-3495-01A-01T-1409-13,TCGA-AA-3496-01A-21H-1838-13,TCGA-AA-3502-01A-01T-1409-13,TCGA-AA-3506-01A-01T-1409-13,TCGA-AA-3509-01A-01T-1409-13,TCGA-AA-3510-01A-01T-1409-13,TCGA-AA-3511-01A-21H-1838-13,TCGA-AA-3514-01A-02T-0822-13,TCGA-AA-3517-01A-01T-0822-13,TCGA-AA-3518-01A-02T-0827-13,TCGA-AA-3519-01A-02T-0822-13,TCGA-AA-3520-01A-01T-0822-13,TCGA-AA-3520-11A-01R-1757-13,TCGA-AA-3521-01A-01T-0822-13,TCGA-AA-3522-01A-01T-0822-13,TCGA-AA-3524-01A-02T-0822-13,TCGA-AA-3525-01A-02T-0827-13,TCGA-AA-3525-11A-01R-1757-13,TCGA-AA-3526-01A-02T-0822-13,TCGA-AA-3527-01A-01T-0822-13,TCGA-AA-3527-11A-01R-1757-13,TCGA-AA-3529-01A-02T-0822-13,TCGA-AA-3531-01A-01T-0822-13,TCGA-AA-3532-01A-01T-0822-13,TCGA-AA-3534-01A-01T-0822-13,TCGA-AA-3538-01A-01T-0822-13,TCGA-AA-3542-01A-02T-0822-13,TCGA-AA-3548-01A-01T-0822-13,TCGA-AA-3549-01A-02T-0822-13,TCGA-AA-3552-01A-01T-0822-13,TCGA-AA-3553-01A-01T-0822-13,TCGA-AA-3560-01A-01T-0822-13,TCGA-AA-3561-01A-01T-0822-13,TCGA-AA-3655-01A-02T-1722-13,TCGA-AA-3660-01A-01T-1722-13,TCGA-AA-3663-01A-01T-1722-13,TCGA-AA-3664-01A-01T-0906-13,TCGA-AA-3666-01A-02T-0906-13,TCGA-AA-3667-01A-01T-0906-13,TCGA-AA-3673-01A-01T-0906-13,TCGA-AA-3678-01A-01T-0906-13,TCGA-AA-3679-01A-02T-0906-13,TCGA-AA-3680-01A-01T-0906-13,TCGA-AA-3681-01A-01T-0906-13,TCGA-AA-3685-01A-02T-0906-13,TCGA-AA-3688-01A-01T-0906-13,TCGA-AA-3693-01A-01T-0906-13,TCGA-AA-3695-01A-01T-0906-13,TCGA-AA-3696-01A-01T-0906-13,TCGA-AA-3710-01A-01T-1021-13,TCGA-AA-3712-01A-21H-1722-13,TCGA-AA-3713-01A-21H-1722-13,TCGA-AA-3715-01A-01T-0906-13,TCGA-AA-3811-01A-01T-1021-13,TCGA-AA-3812-01A-01T-0906-13,TCGA-AA-3814-01A-01T-0906-13,TCGA-AA-3818-01A-01T-0906-13,TCGA-AA-3819-01A-01T-0906-13,TCGA-AA-3831-01A-01T-0906-13,TCGA-AA-3833-01A-01T-0906-13,TCGA-AA-3858-01A-01T-0906-13,TCGA-AA-3842-01A-01T-1021-13,TCGA-AA-3844-01A-01T-1021-13,TCGA-AA-3845-01A-01T-1021-13,TCGA-AA-3846-01A-01T-1021-13,TCGA-AA-3848-01A-01T-0906-13,TCGA-AA-3850-01A-01T-1021-13,TCGA-AA-3851-01A-01T-1021-13,TCGA-AA-3855-01A-01T-1021-13,TCGA-AA-3856-01A-01T-0906-13,TCGA-AA-3861-01A-01T-1021-13,TCGA-AA-3862-01A-01T-1021-13,TCGA-AA-3864-01A-01T-1021-13,TCGA-AA-3866-01A-01T-1021-13,TCGA-AA-3867-01A-01T-1021-13,TCGA-AA-3869-01A-01T-1021-13,TCGA-AA-3870-01A-01T-1021-13,TCGA-AA-3872-01A-01T-1021-13,TCGA-AA-3875-01A-01T-0906-13,TCGA-AA-3930-01A-01T-1021-13,TCGA-AA-3939-01A-01T-1021-13,TCGA-AA-3952-01A-01T-1021-13,TCGA-AA-3956-01A-02T-1021-13,TCGA-AA-3968-01A-01T-1021-13,TCGA-AA-3970-01A-01T-1021-13,TCGA-AA-3971-01A-01T-1021-13,TCGA-AA-3973-01A-01T-1021-13,TCGA-AA-3975-01A-01T-1021-13,TCGA-AA-3976-01A-01T-1021-13,TCGA-AA-3979-01A-01T-1021-13,TCGA-AA-3980-01A-02T-1021-13,TCGA-AA-3982-01A-02T-1021-13,TCGA-AA-3984-01A-02T-1021-13,TCGA-AA-3986-01A-02T-1021-13,TCGA-AA-3989-01A-01T-1021-13,TCGA-AA-A00D-01A-21R-A076-13,TCGA-AA-A00L-01A-31R-A076-13,TCGA-AA-A00O-01A-11R-A076-13,TCGA-AA-A00U-01A-21R-A076-13,TCGA-AA-A00W-01A-21R-A076-13,TCGA-AA-A010-01A-54R-A076-13,TCGA-AA-A01F-01A-21R-A076-13,TCGA-AA-A01P-01A-21R-A082-13,TCGA-AA-A01S-01A-21R-A082-13,TCGA-AA-A01T-01A-21R-A082-13,TCGA-AA-A01V-01A-23R-A082-13,TCGA-AA-A01X-01A-21R-A082-13,TCGA-AA-A01Z-01A-11R-A082-13,TCGA-AA-A022-01A-21R-A082-13,TCGA-AA-A029-01A-22R-A076-13,TCGA-AA-A02E-01A-21R-A076-13,TCGA-AA-A02F-01A-21R-A076-13,TCGA-AA-A02H-01A-31R-A076-13,TCGA-AA-A02J-01A-21R-A076-13,TCGA-AA-A02K-01A-21R-A082-13,TCGA-AA-A02O-01A-21R-A082-13,TCGA-AA-A02R-01A-21R-A076-13,TCGA-AA-A02Y-01A-43R-A082-13,TCGA-AA-A03J-01A-21R-A082-13,TCGA-AD-6548-01A-11H-1838-13,TCGA-AD-6888-01A-11H-1927-13,TCGA-AD-6889-01A-11H-1927-13,TCGA-AD-6890-01A-11H-1927-13,TCGA-AD-6895-01A-11H-1927-13,TCGA-AD-6901-01A-11H-1927-13,TCGA-AD-6963-01A-11H-1927-13,TCGA-AD-6964-01A-11H-1927-13,TCGA-AD-6965-01A-11H-1927-13,TCGA-AD-A5EJ-01A-11H-A28I-13,TCGA-AD-A5EK-01A-11H-A28I-13,TCGA-AM-5820-01A-01T-1652-13,TCGA-AM-5821-01A-01T-1652-13,TCGA-AU-3779-01A-01T-1722-13,TCGA-AU-6004-01A-11H-1722-13,TCGA-AY-4070-01A-01T-1114-13,TCGA-AY-4071-01A-01T-1114-13,TCGA-AY-5543-01A-01T-1652-13,TCGA-AY-6197-01A-11H-1722-13,TCGA-AY-6386-01A-21H-1722-13,TCGA-AY-A54L-01A-11H-A28I-13,TCGA-AY-A69D-01A-11H-A37P-13,TCGA-AY-A71X-01A-12H-A37P-13,TCGA-AY-A8YK-01A-11H-A41D-13,TCGA-AZ-4308-01A-01T-1409-13,TCGA-AZ-4313-01A-01T-1409-13,TCGA-AZ-4315-01A-01T-1409-13,TCGA-AZ-4323-01A-21H-1838-13,TCGA-AZ-4614-01A-01T-1409-13,TCGA-AZ-4615-01A-01T-1409-13,TCGA-AZ-4616-01A-21H-1838-13,TCGA-AZ-4681-01A-01T-1409-13,TCGA-AZ-4682-01B-01T-1409-13,TCGA-AZ-4684-01A-01T-1409-13,TCGA-AZ-5403-01A-01T-1652-13,TCGA-AZ-5407-01A-01T-1722-13,TCGA-AZ-6598-01A-11H-1773-13,TCGA-AZ-6599-01A-11H-1773-13,TCGA-AZ-6600-01A-11H-1773-13,TCGA-AZ-6603-01A-11H-1838-13,TCGA-AZ-6605-01A-11H-1838-13,TCGA-AZ-6606-01A-11H-1838-13,TCGA-AZ-6607-01A-11H-1838-13,TCGA-CA-5254-01A-21H-1838-13,TCGA-CA-5255-01A-11H-1838-13,TCGA-CA-5256-01A-01T-1409-13,TCGA-CA-5797-01A-01T-1652-13,TCGA-CA-6715-01A-21H-1838-13,TCGA-CA-6716-01A-11H-1838-13,TCGA-CA-6718-01A-11H-1838-13,TCGA-CA-6719-01A-11H-1838-13,TCGA-CK-4947-01B-11H-1652-13,TCGA-CK-4948-01B-11H-1652-13,TCGA-CK-5912-01A-11H-1652-13,TCGA-CK-5913-01A-11H-1652-13,TCGA-CK-5914-01A-11H-1652-13,TCGA-CK-5915-01A-11H-1652-13,TCGA-CK-5916-01A-11H-1652-13,TCGA-CK-6746-01A-11H-1838-13,TCGA-CK-6747-01A-11H-1838-13,TCGA-CM-4743-01A-01T-1722-13,TCGA-CM-4744-01A-01T-1409-13,TCGA-CM-4746-01A-01T-1409-13,TCGA-CM-4747-01A-01T-1409-13,TCGA-CM-4750-01A-01T-1409-13,TCGA-CM-4751-01A-02H-1838-13,TCGA-CM-4752-01A-01T-1409-13,TCGA-CM-5341-01A-01T-1409-13,TCGA-CM-5344-01A-21H-1722-13,TCGA-CM-5348-01A-21H-1722-13,TCGA-CM-5349-01A-21H-1722-13,TCGA-CM-5860-01A-01T-1652-13,TCGA-CM-5861-01A-01T-1652-13,TCGA-CM-5862-01A-01T-1652-13,TCGA-CM-5864-01A-01T-1652-13,TCGA-CM-5868-01A-01T-1652-13,TCGA-CM-6161-01A-11H-1652-13,TCGA-CM-6163-01A-11H-1652-13,TCGA-CM-6164-01A-11H-1652-13,TCGA-CM-6165-01A-11H-1652-13,TCGA-CM-6166-01A-11H-1652-13,TCGA-CM-6167-01A-11H-1652-13,TCGA-CM-6168-01A-11H-1652-13,TCGA-CM-6169-01A-11H-1652-13,TCGA-CM-6170-01A-11H-1652-13,TCGA-CM-6171-01A-11H-1652-13,TCGA-CM-6172-01A-11H-1652-13,TCGA-CM-6674-01A-11H-1838-13,TCGA-CM-6675-01A-11H-1838-13,TCGA-CM-6676-01A-11H-1838-13,TCGA-CM-6677-01A-11H-1838-13,TCGA-CM-6678-01A-11H-1838-13,TCGA-CM-6679-01A-11H-1838-13,TCGA-CM-6680-01A-11H-1838-13,TCGA-D5-5537-01A-21H-1927-13,TCGA-D5-5538-01A-01T-1652-13,TCGA-D5-5540-01A-01T-1652-13,TCGA-D5-5541-01A-01T-1652-13,TCGA-D5-6529-01A-11H-1773-13,TCGA-D5-6530-01A-11H-1722-13,TCGA-D5-6531-01A-11H-1722-13,TCGA-D5-6532-01A-11H-1722-13,TCGA-D5-6533-01A-11H-1722-13,TCGA-D5-6535-01A-11H-1722-13,TCGA-D5-6536-01A-11H-1722-13,TCGA-D5-6537-01A-11H-1722-13,TCGA-D5-6538-01A-11H-1722-13,TCGA-D5-6539-01A-11H-1722-13,TCGA-D5-6541-01A-11H-1722-13,TCGA-D5-6898-01A-11H-1927-13,TCGA-D5-6920-01A-11H-1927-13,TCGA-D5-6922-01A-11H-1927-13,TCGA-D5-6923-01A-11H-1927-13,TCGA-D5-6924-01A-11H-1927-13,TCGA-D5-6926-01A-11H-1927-13,TCGA-D5-6927-01A-21H-1927-13,TCGA-D5-6929-01A-31H-1927-13,TCGA-D5-6931-01A-11H-1927-13,TCGA-D5-6932-01A-11H-1927-13,TCGA-DM-A0X9-01A-11H-A154-13,TCGA-DM-A0XD-01A-12H-A154-13,TCGA-DM-A0XF-01A-11H-A154-13,TCGA-DM-A1D0-01A-11H-A154-13,TCGA-DM-A1D4-01A-21H-A154-13,TCGA-DM-A1D8-01A-11H-A154-13,TCGA-DM-A1D9-01A-11H-A154-13,TCGA-DM-A1DA-01A-11H-A154-13,TCGA-DM-A1DB-01A-11H-A154-13,TCGA-DM-A1HA-01A-11H-A154-13,TCGA-DM-A28A-01A-21H-A16S-13,TCGA-DM-A28C-01A-11H-A16S-13,TCGA-DM-A28E-01A-11H-A16S-13,TCGA-DM-A28F-01A-11H-A16S-13,TCGA-DM-A28G-01A-11H-A16S-13,TCGA-DM-A28H-01A-11H-A16S-13,TCGA-DM-A28M-01A-12H-A16S-13,TCGA-F4-6459-01A-11H-1773-13,TCGA-F4-6460-01A-11H-1773-13,TCGA-F4-6461-01A-11H-1773-13,TCGA-F4-6569-01A-11H-1773-13,TCGA-F4-6570-01A-11H-1773-13,TCGA-F4-6703-01A-11H-1838-13,TCGA-F4-6805-01A-11H-1838-13,TCGA-F4-6806-01A-11H-1838-13,TCGA-F4-6807-01A-11H-1838-13,TCGA-F4-6808-01A-11H-1838-13,TCGA-F4-6809-01A-11H-1838-13,TCGA-F4-6854-01A-11H-1927-13,TCGA-F4-6855-01A-11H-1927-13,TCGA-G4-6293-01A-11H-1722-13,TCGA-G4-6294-01A-11H-1773-13,TCGA-G4-6295-01A-11H-1722-13,TCGA-G4-6297-01A-11H-1722-13,TCGA-G4-6298-01A-11H-1722-13,TCGA-G4-6299-01A-11H-1773-13,TCGA-G4-6303-01A-11H-1773-13,TCGA-G4-6304-01A-11H-1927-13,TCGA-G4-6306-01A-11H-1773-13,TCGA-G4-6307-01A-11H-1722-13,TCGA-G4-6309-01A-21H-1838-13,TCGA-G4-6311-01A-11H-1722-13,TCGA-G4-6315-01A-11H-1722-13,TCGA-G4-6317-01A-11H-1722-13,TCGA-G4-6317-02A-11H-2065-13,TCGA-G4-6320-01A-11H-1722-13,TCGA-G4-6321-01A-11H-1722-13,TCGA-G4-6323-01A-11H-1722-13,TCGA-G4-6586-01A-11H-1773-13,TCGA-G4-6588-01A-11H-1773-13,TCGA-G4-6626-01A-11H-1773-13,TCGA-G4-6627-01A-11H-1773-13,TCGA-G4-6628-01A-11H-1838-13,TCGA-NH-A50T-01A-11H-A28I-13,TCGA-NH-A50V-01A-11H-A28I-13,TCGA-NH-A5IV-01A-42H-A37P-13,TCGA-NH-A6GA-01A-11H-A37P-13,TCGA-NH-A6GB-01A-11H-A37P-13,TCGA-NH-A8F7-01A-11H-A41D-13,TCGA-NH-A8F7-06A-31H-A41D-13,TCGA-NH-A8F8-01A-72H-A41D-13,TCGA-QG-A5YV-01A-11H-A28I-13,TCGA-QG-A5YX-01A-11H-A28I-13,TCGA-QG-A5Z1-01A-11H-A28I-13,TCGA-QG-A5Z2-01A-11H-A28I-13,TCGA-QL-A97D-01A-12H-A41D-13,TCGA-RU-A8FL-01A-11H-A37P-13,TCGA-SS-A7HO-01A-21H-A37P-13,TCGA-T9-A92H-01A-11H-A37P-13
hsa-let-7a-2-3p,2.237603,4.516611,36.03251,1.84544,1.220552408,11.497656,3.0674662,2.102484,1.601065039,3.714079598,2.658887333,1.223755623,2.267038685,8.614183,4.152825691,3.874876725,9.360749671,2.139198,5.596987365,7.92733,5.316668809,15.306222,2.257918467,2.64464121,4.815320151,10.02198583,1.89401,3.093825501,12.861644,0.921613,0.716356,1.808427,1.005863,0.608253,14.290064,1.317965,2.101187,0.755636,1.541182,2.786454,0.900566,8.324725,4.819221,0.274686,3.765258,1.731869,1.991066,6.774381,1.493846,2.145033,9.78919,1.527051,0.76378,7.00087,-0.219654769,4.121904,0.706936237,0.562693998,1.272635929,1.401273,-0.241204701,1.553668389,1.253669498,0.373817652,3.427747,10.74873973,2.184835699,1.390296451,0.852536368,3.124672005,13.958585,1.463511609,4.913461137,3.624811737,0.508559546,6.973028,1.982534058,8.457697383,12.36634,2.774121666,1.239201086,4.962740533,8.449298663,3.285496276,3.308774479,2.429433274,3.979580467,2.864661451,3.17733918,3.021591321,2.211748909,0.0,0.97206,0.0,-0.468858783,5.657344964,3.496702035,6.123225309,0.319196908,6.190821915,2.675015447,2.309516146,7.061420487,3.153960111,7.245181433,4.253094371,3.918198475,2.603409745,1.816555,0.0,26.62106915,1.728865494,5.3072625,5.532925108,8.511871673,3.404995291,2.992925,2.006716591,2.962473937,1.846503118,0.03671469,15.10023826,1.41959162,2.054970151,3.238416543,1.128043567,1.670449652,8.893345897,0.042812923,3.880616398,1.957521096,5.036673271,3.09771864,3.669344684,1.3268921,4.745767257,4.695539605,1.672477143,6.849350031,3.231467631,6.692274664,4.15913183,0.761357335,2.231737908,11.33698128,2.012401195,6.304793659,1.580805079,1.951567656,3.479295626,4.480901319,3.114835807,2.890059396,1.974483491,-0.468858783,2.194810261,3.446193239,0.344862971,-0.177891275,3.351494619,2.356298497,1.581076048,-0.12725104,-0.063087629,4.112720518,1.332445292,0.718483164,1.554091843,1.485490236,1.258592544,0.366744332,1.810920286,1.082363664,2.305785166,3.104118647,-0.468858783,1.866990727,2.605701,1.032094,0.311208,6.383482,2.707207,3.560674,8.329032,4.697775,2.960186,0.613661,3.429755,1.660136,2.353207,1.621047,0.802729,0.560490789,0.875079516,0.0,0.0,2.110074,0.503328,0.694139,0.250836,2.521903,1.134413835,0.77295106,1.218345915,4.157309,-0.183867674,1.318406643,1.373307,1.737148691,1.644969479,1.026285906,0.835374,0.0,0.844744,1.457684,2.039183,3.006576,2.608451,0.797564,1.246766,14.152654,9.908839,1.356066034,0.863321,3.606134,1.530401,1.237448,1.058511,1.231977,1.952691,1.293318,0.538498,0.563415,0.0,0.459536,0.0,1.72075,0.344715,1.624626061,0.47484059,2.212650568,0.571170541,0.778949,2.535638309,3.678447242,0.759662,2.157479,0.480199,0.370873,0.216158,0.803258,1.172783,2.0949,1.419607,2.896719,0.541289,3.222657,2.307544,0.758396,1.246668,2.558494,0.573384,0.170832,1.618883,2.114779,0.339267,6.207499,1.763685,4.307784,3.786621,1.321301,4.654348,1.663019,0.936841,1.543037,3.808926,0.934329,0.802586,2.301094,1.808258,1.551537,1.052359,2.19771,2.986699,0.0,1.264799,4.231445,2.296787,3.137224,8.002617,3.835961,5.100853,2.702458,2.066252,1.522662,2.707843,0.597497,0.228963,3.998878,2.570869,1.341534,5.604589,3.894659,0.879415,0.91892,0.438209,1.537206,1.303036,1.751999,0.276553,2.960984,1.13461,0.297483,2.306596,2.569087,2.489432,5.075287,5.847869,4.005984,1.829388,1.646885,3.623933,2.438906,2.369989,2.936245,8.361313,0.0,2.214651,0.633362,0.975048,1.260703,5.796537,2.633565,0.384778,2.264952,0.300198,0.957853,0.824941,1.310564,1.425375,1.883816,1.923106,1.646108,1.098313,1.89317,2.375414,1.407247,1.393442,1.245324,0.507338,4.488826,6.310884,1.705253,0.341614,4.366168,1.202181,0.22249,0.898493,1.423072,2.539882,0.308351,0.968154,0.970257,0.491463,2.660493
hsa-let-7a-3p,27.322308,35.48766,94.4143,35.854257,12.6505055,0.0,10.4126642,17.608306,6.489773487,15.5595998,17.74568312,8.480133903,10.20030675,1.076773,7.01617872,9.638921093,51.74203335,2.139198,9.576164928,0.0,7.940648936,0.0,12.55154413,44.70921704,13.72608739,13.92632593,10.227656,10.28899706,12.861644,11.635368,11.700475,18.837784,24.392176,9.123793,21.984714,25.919972,14.183011,15.784405,33.431799,27.864545,35.797508,34.408863,19.156405,35.159861,20.483001,12.123083,8.500319,57.582242,25.561358,8.372548,23.609222,18.121005,34.981112,50.262658,14.9701314,18.342471,10.31917518,16.27147066,5.273559805,30.547743,21.62082409,7.261813921,31.55773565,7.509862338,18.907895,22.94810974,11.50657287,17.92294868,6.16246709,8.224698369,0.0,9.23426853,6.715941485,15.61984842,8.523073234,0.996147,23.69106876,12.61402084,2.748076,14.34953592,12.43332451,16.78709138,10.36676357,13.61531044,16.95048117,10.90713311,8.477757112,17.33345336,10.87467408,11.97364627,24.88238146,21.058347,20.899292,17.055803,30.68030172,11.09109562,16.85954241,14.33659497,34.98835974,19.12011689,9.078122922,19.12607663,18.82908018,31.54708738,12.82971438,10.62258879,12.89678902,21.80896502,19.755033,27.32237,24.45416648,66.92591599,18.99616252,14.68897996,13.8750568,21.23394273,17.87095633,15.47731817,36.68260327,25.65162486,26.15982304,61.02340274,25.32101248,38.29506913,18.32575323,19.0362249,18.51754106,19.47009191,10.31925895,27.82160005,46.662925,13.17793313,17.35969761,24.13454506,10.60237497,8.192347924,32.41390003,35.17172359,30.81011497,22.33431154,14.09217582,45.8080348,20.32911269,24.51615418,95.86055086,27.44089628,24.69297311,65.42813384,42.9795972,29.61153079,49.18851713,21.12580698,27.63174185,38.12949144,34.63588196,50.30462704,75.25865372,24.83334025,56.14293938,42.03050257,36.70306727,58.46069436,17.67118414,22.07685468,47.49752206,67.82555927,59.26783764,18.13564563,47.58188635,43.02228829,24.30271246,44.35640798,54.91074257,25.37122428,11.8286249,33.48883405,24.90865992,19.611328,43.003931,11.825904,23.212661,18.499251,21.63794,42.478065,35.363807,21.510681,54.206706,28.907937,8.485142,8.942186,10.334173,20.068216,19.65858606,15.35085553,17.43389,29.871049,40.091408,29.444696,28.980291,34.866196,38.745605,12.54565999,20.54765884,19.91282244,24.173981,5.158501361,12.90233486,16.979069,11.74078471,14.93267,21.84825378,14.758265,9.110708,18.584377,29.315639,13.176262,17.204298,28.506638,46.258726,21.195022,4.422704,4.403928,13.82703003,17.266423,10.818402,20.507371,19.092053,10.232271,20.122298,28.732458,30.392985,18.039684,48.453707,37.404953,17.156017,41.696275,16.633921,27.577173,40.9594628,21.2993227,14.00675904,14.65973083,29.600055,9.284161964,10.0900324,27.094623,21.574791,20.968669,21.634251,25.290511,23.294492,12.900615,17.726076,10.951252,34.346805,17.591897,11.155352,15.313698,8.595155,9.41927,9.053131,14.47795,12.81242,21.854925,28.605173,19.507869,30.583285,20.172147,21.359429,29.224944,51.750944,17.559586,11.641136,9.368413,8.376489,23.234449,95.067936,20.06464,28.47604,22.502766,18.359855,67.200623,29.512102,21.653566,28.197259,45.532775,7.679289,14.765058,9.859847,25.040445,13.526811,12.302057,16.706106,20.869148,11.673743,41.602314,19.418665,56.095844,41.624686,33.635539,29.513755,36.601396,45.004948,26.089325,23.432471,18.076134,19.983675,27.689524,57.815965,25.166354,40.646237,20.422971,35.400431,13.996842,13.94647,34.49642,14.157378,32.915149,20.602202,9.812171,20.703695,8.15385,23.097876,12.224155,8.074675,15.182383,29.088163,24.914819,88.987313,21.256053,56.941769,32.272614,9.217479,27.31925,49.62305,32.421421,41.506958,35.74744,47.929206,28.151147,25.83519,34.375512,78.025539,28.556128,44.895163,57.801752,37.057503,19.740431,54.97218,70.012699,30.159299,30.502604,24.441956,34.503043,31.252571,24.043625,15.240587,46.047786,22.769156,24.736242,37.927166,25.656069,27.652323,14.580073,42.035788
